What_is_your_educational_level?,Provide_physical_therapy_to_people_recovering_from_an_injury,Create_special_effects_for_movies/_edit_movies,Give_career_guidance_to_people,Manage_a_department_within_a_large_company,Manage_the_operations_of_a_hotel,Study_the_movement_of_planets,Load_computer_software_into_a_large_computer_network,Assemble_electronic_parts,Draw_pictures,Compute_and_record_statistical_and_other_numerical_data,Write_a_song,Act_in_a_play,Study_space_travel,Conduct_chemical_experiments,Develop_a_new_medicine,Play_a_musical_instrument,Organize_and_schedule_office_meetings,Teach_an_individual_or_a_group_of_students,Handle_customers_bank_transactions,Assemble_Products_in_a_Factory,Manage_a_supermarket,Buy_and_sell_land,Want_to_serve_the_motherland_with_prestige,Write_books_or_plays,Teach_children_how_to_play_sports,Perform_comedy_routines_in_front_of_an_audience,Perform_nursing_duties_in_a_hospital,Write_scripts_for_movies_or_television_shows,Test_the_quality_of_parts_before_shipment,Start_your_own_business,Catch_fish_as_a_member_of a_fishing_crew,Help_elderly_people_with_their_daily_activities,Sell_computer_equipment_in_a_store,Develop_a_way_to_better_predict_the_weather,Do_laboratory_tests_to_identify_diseases,Study_ways_to_reduce_water_pollution,Sell_automobiles,Investigate_crimes,Teach_a_high-school_class,Market_a_new_line_of_clothing,Audition_singers_and_musicians_for_a_musical_show,Maintain_network_hardware_and_software,Set_up_and_operate_machines_to_make_products,Give_a_presentation_of_a_product_you_are_selling,Spray_trees_to_prevent_the_spread_of_harmful_insects,Knowledge_of_marketing_strategy,Keep_records_for_financial_transactions_for_an_organization,Teach_sign_language_to_people_with_hearing_disabilities,Loves_to_know_about_new_technology,Interest_to_know_how_computer_works,Career
post_graduation,like,like,strongly like,like,like,strongly like,strongly like,like,like,unsure,unsure,like,like,strongly like,unsure,strongly like,like,like,unsure,unsure,strongly like,strongly like,unsure,unsure,dislike,unsure,dislike,unsure,unsure,strongly like,dislike,unsure,dislike,like,like,like,unsure,like,like,strongly like,strongly like,strongly like,strongly like,strongly like,unsure,strongly like,like,unsure,strongly like,strongly like,InformationTechnology
post_intermediate,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,dislike,dislike,like,dislike,like,unsure,unsure,like,strongly like,like,like,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,like,like,unsure,like,like,dislike,dislike,dislike,strongly dislike,like,strongly dislike,unsure,like,dislike,dislike,dislike,dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,like,dislike,dislike,unsure,like,unsure,"Science,_Medical"
post_graduation,dislike,like,unsure,like,strongly dislike,unsure,strongly like,strongly like,like,dislike,like,dislike,like,like,dislike,like,like,like,strongly dislike,unsure,unsure,strongly dislike,like,unsure,like,dislike,strongly dislike,unsure,dislike,unsure,strongly dislike,like,unsure,dislike,dislike,unsure,like,unsure,dislike,strongly dislike,unsure,strongly like,strongly like,unsure,strongly dislike,dislike,like,unsure,strongly like,strongly like,"Science,Engineering, InformationTechnology"
post_graduation,dislike,like,unsure,like,strongly dislike,unsure,strongly like,strongly like,like,dislike,like,dislike,like,like,dislike,like,like,like,strongly dislike,unsure,unsure,strongly dislike,like,unsure,like,dislike,strongly dislike,unsure,dislike,unsure,strongly dislike,like,unsure,dislike,dislike,unsure,like,unsure,dislike,strongly dislike,unsure,strongly like,strongly like,unsure,strongly dislike,dislike,like,unsure,strongly like,strongly like,"Science, Engineering, InformationTechnology"
post_graduation,strongly like,like,strongly like,like,like,unsure,dislike,like,strongly like,strongly like,dislike,strongly like,unsure,like,like,dislike,like,strongly like,like,dislike,like,unsure,strongly like,like,strongly like,unsure,dislike,like,strongly like,strongly like,strongly like,strongly like,dislike,unsure,like,strongly like,dislike,strongly like,like,unsure,dislike,strongly dislike,unsure,like,strongly like,strongly like,like,unsure,like,like,Management
post_matric,strongly dislike,strongly dislike,strongly like,strongly like,unsure,dislike,unsure,strongly like,like,strongly dislike,dislike,like,like,like,strongly dislike,strongly dislike,like,unsure,dislike,like,like,strongly like,unsure,like,strongly like,dislike,strongly dislike,strongly dislike,unsure,like,like,like,like,strongly dislike,strongly dislike,strongly like,dislike,like,like,like,dislike,unsure,like,strongly like,strongly like,like,like,like,strongly like,strongly dislike,Media and Entertainment
post_intermediate,strongly dislike,strongly like,unsure,dislike,strongly dislike,strongly dislike,strongly like,like,like,strongly like,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,like,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly like,strongly like,Engineering
post_matric,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,unsure,like,unsure,unsure,strongly like,strongly like,like,unsure,like,unsure,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,dislike,strongly dislike,strongly like,dislike,dislike,dislike,dislike,like,dislike,strongly dislike,like,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,Medical
post_intermediate,unsure,like,like,strongly like,like,dislike,unsure,unsure,strongly like,like,unsure,dislike,unsure,unsure,dislike,like,unsure,like,dislike,dislike,like,like,like,dislike,like,unsure,unsure,dislike,unsure,strongly like,like,like,like,unsure,dislike,unsure,unsure,strongly like,dislike,unsure,strongly dislike,unsure,like,like,dislike,strongly like,like,dislike,strongly like,like,"Management, Marketing and Sales, Startup"
post_intermediate,unsure,like,unsure,like,strongly like,strongly like,like,like,like,unsure,like,strongly like,strongly like,unsure,unsure,strongly like,unsure,like,unsure,unsure,like,like,strongly like,strongly like,unsure,like,unsure,strongly like,unsure,strongly like,unsure,unsure,like,like,unsure,unsure,like,strongly like,like,like,strongly like,unsure,unsure,like,unsure,like,unsure,unsure,like,like,"Science, Arts, Acting, Defence, Media and Entertainment, Startup, Civil Services"
post_graduation,like,like,like,like,unsure,like,like,unsure,like,like,like,strongly like,like,like,like,like,like,like,like,like,like,strongly like,strongly like,strongly like,like,unsure,unsure,dislike,unsure,like,like,like,unsure,like,like,like,like,like,like,like,like,like,like,like,like,like,like,like,like,unsure,"Science, Engineering, Medical, Media and Entertainment, InformationTechnology, Startup, Finance and Accounts"
post_matric,strongly like,unsure,like,unsure,like,like,dislike,dislike,unsure,strongly dislike,like,like,like,like,strongly like,dislike,unsure,unsure,strongly dislike,dislike,strongly dislike,strongly dislike,like,strongly dislike,like,dislike,strongly like,strongly dislike,like,unsure,strongly dislike,like,unsure,dislike,strongly like,strongly like,dislike,dislike,dislike,like,dislike,dislike,unsure,unsure,strongly like,like,unsure,strongly like,unsure,like,"Science, Medical"
post_matric,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,unsure,strongly like,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Acting
post_intermediate,like,like,like,strongly like,like,strongly like,like,unsure,like,unsure,like,like,strongly like,like,unsure,strongly like,like,like,dislike,unsure,dislike,unsure,strongly like,like,strongly like,unsure,unsure,dislike,unsure,strongly like,like,strongly like,unsure,like,like,strongly like,like,like,like,strongly like,like,like,like,like,like,like,strongly like,strongly like,strongly like,strongly like,"Science, Sports, Engineering"
post_intermediate,strongly dislike,strongly like,strongly like,strongly like,like,strongly dislike,dislike,unsure,strongly like,unsure,strongly like,strongly like,unsure,unsure,unsure,strongly like,like,like,dislike,unsure,like,dislike,like,strongly like,strongly like,strongly like,strongly dislike,strongly like,unsure,strongly like,strongly dislike,like,dislike,like,strongly dislike,dislike,dislike,dislike,like,like,strongly like,dislike,dislike,dislike,unsure,dislike,like,dislike,strongly dislike,strongly dislike,"Acting, Media and Entertainment"
post_matric,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,Sports
post_intermediate,unsure,like,unsure,like,dislike,like,like,like,dislike,like,unsure,like,strongly like,unsure,unsure,dislike,dislike,dislike,dislike,unsure,like,dislike,strongly like,like,dislike,like,like,like,unsure,unsure,like,like,like,like,unsure,unsure,dislike,like,like,dislike,dislike,like,like,like,dislike,like,dislike,like,like,like,"Sports, Engineering, InformationTechnology"
post_intermediate,strongly like,dislike,strongly like,strongly like,unsure,unsure,strongly like,dislike,strongly dislike,strongly like,strongly dislike,dislike,strongly dislike,strongly like,dislike,dislike,strongly like,strongly like,like,strongly dislike,strongly like,like,like,unsure,dislike,dislike,strongly dislike,strongly dislike,like,strongly like,dislike,unsure,unsure,strongly dislike,strongly dislike,unsure,unsure,like,strongly like,unsure,unsure,like,like,strongly like,unsure,strongly like,strongly like,strongly dislike,like,like,"Science, Arts, Engineering, Media and Entertainment, Management, Law, Marketing and Sales, Startup, Finance and Accounts"
post_graduation,unsure,like,like,like,dislike,dislike,like,like,strongly dislike,dislike,like,like,like,like,like,strongly like,dislike,dislike,like,dislike,dislike,like,strongly like,like,dislike,dislike,dislike,like,like,strongly like,dislike,like,like,unsure,unsure,unsure,like,like,unsure,unsure,dislike,like,unsure,unsure,strongly dislike,like,unsure,dislike,strongly like,strongly like,"Science, Marketing and Sales"
post_matric,like,strongly like,dislike,dislike,strongly dislike,unsure,dislike,dislike,like,unsure,like,unsure,like,strongly like,like,unsure,unsure,unsure,dislike,dislike,dislike,dislike,unsure,unsure,unsure,dislike,like,unsure,unsure,unsure,dislike,like,dislike,unsure,like,like,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,unsure,unsure,Medical
post_matric,dislike,dislike,like,unsure,like,dislike,dislike,dislike,strongly like,like,like,strongly like,unsure,dislike,dislike,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,strongly like,unsure,like,strongly dislike,unsure,dislike,unsure,unsure,like,dislike,unsure,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,dislike,like,unsure,unsure,like,unsure,like,unsure,Arts
post_matric,strongly dislike,strongly like,like,dislike,dislike,unsure,unsure,unsure,like,dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,unsure,unsure,strongly dislike,unsure,dislike,unsure,like,strongly like,dislike,strongly like,dislike,like,strongly dislike,dislike,strongly dislike,like,dislike,dislike,strongly dislike,strongly dislike,unsure,dislike,strongly dislike,unsure,strongly like,strongly dislike,strongly dislike,strongly dislike,dislike,unsure,dislike,like,dislike,dislike,"Acting, Media and Entertainment"
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,Sports
post_intermediate,unsure,dislike,strongly like,unsure,unsure,unsure,strongly dislike,strongly dislike,like,strongly like,strongly dislike,strongly dislike,strongly like,dislike,unsure,dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly like,strongly like,strongly dislike,unsure,unsure,unsure,like,strongly dislike,like,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly like,like,strongly dislike,strongly dislike,"Commerce, professor or teacher"
professional,unsure,strongly dislike,strongly dislike,strongly dislike,unsure,dislike,strongly like,strongly like,dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,unsure,unsure,unsure,unsure,strongly like,like,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,unsure,unsure,strongly dislike,dislike,unsure,strongly dislike,strongly like,strongly like,"Science, Engineering, InformationTechnology"
professional,strongly like,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,dislike,strongly dislike,dislike,like,dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,unsure,strongly like,strongly like,strongly like,dislike,dislike,dislike,unsure,dislike,strongly dislike,dislike,strongly like,strongly like,unsure,like,unsure,unsure,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly like,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,"Management, Finance and Accounts"
post_matric,strongly dislike,strongly like,unsure,strongly dislike,unsure,unsure,unsure,unsure,unsure,unsure,strongly like,strongly like,unsure,unsure,unsure,unsure,unsure,unsure,like,unsure,dislike,dislike,strongly dislike,dislike,unsure,strongly like,unsure,strongly like,unsure,dislike,dislike,strongly like,dislike,unsure,dislike,unsure,unsure,unsure,unsure,dislike,strongly like,dislike,unsure,unsure,unsure,unsure,unsure,strongly like,dislike,strongly dislike,"Acting, Media and Entertainment"
professional,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,"Defence, Civil Services"
professional,dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,"Defence, Civil Services"
post_intermediate,strongly dislike,strongly dislike,strongly like,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,unsure,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,"Management, Startup"
post_intermediate,strongly dislike,strongly dislike,strongly like,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,"Management, Startup"
post_graduation,strongly dislike,dislike,strongly like,like,strongly dislike,strongly dislike,strongly like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,unsure,strongly dislike,dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,like,like,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly like,strongly like,"Science, InformationTechnology"
post_graduation,strongly dislike,strongly dislike,strongly like,like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,unsure,unsure,unsure,unsure,like,like,strongly like,strongly like,dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,dislike,unsure,strongly dislike,unsure,unsure,dislike,strongly dislike,unsure,dislike,unsure,unsure,dislike,unsure,unsure,dislike,strongly dislike,dislike,like,dislike,like,strongly like,strongly dislike,strongly dislike,strongly dislike,"Commerce, Finance and Accounts"
post_graduation,strongly dislike,strongly dislike,strongly like,like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,dislike,strongly dislike,dislike,unsure,unsure,unsure,like,strongly like,strongly like,unsure,dislike,like,strongly dislike,strongly dislike,dislike,strongly dislike,dislike,strongly dislike,unsure,dislike,strongly dislike,strongly dislike,strongly dislike,unsure,dislike,dislike,dislike,dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,like,strongly like,strongly dislike,strongly dislike,unsure,"Commerce, Finance and Accounts"
post_intermediate,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,dislike,dislike,dislike,strongly like,like,unsure,professor or teacher
post_graduation,dislike,dislike,unsure,strongly dislike,strongly dislike,unsure,unsure,dislike,like,unsure,dislike,like,unsure,unsure,dislike,like,dislike,dislike,strongly dislike,dislike,unsure,unsure,unsure,dislike,like,like,strongly dislike,strongly dislike,unsure,dislike,like,unsure,dislike,dislike,unsure,dislike,unsure,like,dislike,dislike,dislike,dislike,dislike,unsure,like,dislike,dislike,dislike,dislike,like,Sports
post_graduation,strongly dislike,strongly dislike,unsure,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly like,strongly like,strongly dislike,strongly like,strongly like,strongly dislike,strongly dislike,strongly dislike,"Law, Marketing and Sales"
post_intermediate,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,strongly dislike,dislike,dislike,Civil Services
